Time,1mRNAc(),mRNAc()
20611.86909,17,19
20639.87104,18,19
20667.88723,20,20
20695.88804,20,20
20723.88844,20,20
20751.8893,21,21
20779.88944,22,21
20807.89221,22,21
20835.89568,22,24
20863.89682,22,23
20891.91379,23,23
20919.9163,23,22
20947.91752,23,22
20975.92912,23,21
21003.93213,24,21
21031.93236,24,22
21059.93399,25,22
21087.93655,24,22
21115.93786,25,23
21143.93832,25,22
21171.94209,25,21
21199.94383,25,21
21227.95315,23,20
21255.95785,24,20
21283.9747,23,21
21311.9803,23,20
21339.98686,23,20
21367.99924,23,19
21396.0076,22,20
21424.0101,22,19
21452.01771,22,19
21480.02315,21,19
21508.02408,22,20
21536.02786,21,20
21564.02944,21,20
21592.03359,22,20
21620.03847,21,20
21648.03933,21,21
21676.08493,21,21
21704.08744,22,20
21732.08953,22,21
21760.09414,22,23
21788.09429,23,23
21816.0988,23,23
21844.10657,25,24
21872.12042,26,25
21900.13306,25,25
21928.13429,25,25
21956.13541,25,25
21984.13612,24,25
22012.15061,25,25
22040.15198,22,25
22068.15552,21,25
22096.156,21,24
22124.16698,21,24
22152.16877,20,24
22180.16942,20,24
22208.17185,20,24
22236.17621,21,25
22264.18009,21,25
22292.1817,21,25
22320.1851,22,25
22348.18527,22,26
22376.19476,22,27
22404.19867,22,26
22432.20912,22,26
22460.20979,22,26
22488.21777,22,25
22516.21811,23,24
22544.22342,23,24
22572.22913,24,25
22600.23109,24,25
22628.2393,24,25
22656.24022,23,26
22684.25661,23,29
22712.25866,23,29
22740.26535,24,29
22768.28562,26,27
22796.2865,27,27
22824.28865,26,27
22852.28925,26,27
22880.28941,26,27
22908.29915,26,27
22936.30316,26,27
22964.30345,25,28
22992.30735,24,28
23020.30921,25,28
23048.31583,24,28
23076.31686,23,27
23104.32211,23,29
23132.33518,22,30
23160.34515,24,29
23188.35982,24,32
23216.362,23,32
23244.36459,23,31
23272.37046,22,31
23300.37504,22,30
23328.3804,22,30
23356.38114,22,29
23384.38352,22,29
23412.38395,22,29
23440.38614,22,28
23468.39068,23,29
23496.39322,23,30
23524.39486,23,30
23552.39982,22,29
23580.40718,22,29
23608.40769,22,28
23636.41391,23,28
23664.41495,23,29
23692.4257,22,27
23720.43821,22,26
23748.43881,22,26
23776.44391,22,26
23804.45572,22,26
23832.45573,22,26
23860.45957,22,25
23888.46527,22,26
23916.48429,23,27
23944.48783,23,27
23972.4998,23,26
24000.50043,23,24
24028.51188,24,23
24056.51361,24,22
24084.51973,24,21
24112.53111,23,20
24140.54103,23,19
24168.54649,23,19
24196.54673,23,19
24224.55209,23,19
24252.55957,23,19
24280.55959,23,18
24308.56066,21,19
24336.56368,21,19
24364.56828,21,19
24392.56872,20,18
24420.58021,19,17
24448.58023,19,18
24476.58612,18,19
24504.59132,18,19
24532.59627,17,19
24560.60298,17,20
24588.60535,17,22
24616.61076,17,23
24644.61191,18,25
24672.61275,18,26
24700.6152,18,24
24728.63459,18,24
24756.6375,19,24
24784.63763,18,24
24812.64243,17,24
24840.64945,17,24
24868.65037,17,24
24896.65097,18,24
24924.65222,19,24
24952.65289,18,24
24980.65484,17,24
25008.65867,17,23
25036.67149,18,24
25064.67175,17,23
25092.67448,18,24
25120.67563,18,23
25148.6796,19,23
25176.68233,20,24
25204.68377,20,24
25232.7002,19,23
